State,District,Latitude,Longitude,District code,Population,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Other Religion,Households,Urban Households,Rural Households,SC,ST,Households with Internet,Housholds with Electric Lighting,Households with Computer,sex_ratio,literacy rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,2399901,275970,15422,1377,25510,617,322,817714,220248,597466,488596,495794,5512,566108,45202,999.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,3599372,443456,20463,932,341,1417,309,1244428,341431,902997,583135,154127,8606,897970,48299,1024.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,3737588,397870,24129,867,253,1322,358,1303870,395900,907970,785760,159165,13763,944555,67087,1003.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,4983330,77777,77825,738,413,4149,403,1605841,406362,1199479,945269,213195,22411,1297273,93784,994.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,4217597,559770,89763,764,323,3282,332,1582990,513113,1069877,957407,247089,19383,1186028,80434,997.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2046051,1713405,87522,11446,1268,19560,1929,1066289,1066289,0,247927,48937,149034,869721,274653,1049.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,3491139,244723,24979,2086,332,312,115,1165280,288044,877236,709757,106745,8831,926768,46584,992.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,2595321,158887,33463,655,217,459,539,870625,201363,669262,462896,765565,8628,668519,42171,989.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,4023678,307043,145598,1393,863,6320,906,1476334,567042,909292,871063,132464,30438,1163932,101450,1008.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,3328380,670737,33165,737,255,2235,434,1090835,306982,783853,737945,82831,10081,816721,56478,1012.0,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,3673456,334172,21345,658,290,388,267,1010015,161052,848963,708954,364269,6153,757821,60812,1024.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,2637313,342449,34301,1309,554,457,217,789132,195479,593653,537947,168985,8635,604719,47170,1008.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,3249231,188646,35025,937,241,250,132,1030937,197433,833504,637385,394279,7715,789225,53777,1018.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,2123426,391596,19653,2357,1847,542,146,720298,155133,565165,371074,192941,5261,545913,35036,962.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,3150195,220654,18775,266,97,204,206,1087575,214089,873486,787861,151145,6151,763746,43611,1019.0,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,2666950,9025,18879,193,77,160,106,902436,149684,752752,255664,166118,3988,615432,32280,986.0,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,2299129,16423,17853,380,114,815,183,749514,157056,592458,247728,235556,4453,527736,24128,982.0,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,3273755,197333,31377,1453,253,569,126,1046987,288249,758738,616102,530656,12952,828077,59006,1003.0,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,3733191,86142,109120,288,209,1578,211,1255628,248373,1007255,811698,109072,12050,1017568,55613,996.0,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,47683,2134,35969,94,50381,95,11738,39920,6498,33422,0,53878,170,14593,1486,1080.0,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,12333,652,37136,36,452,23,27868,19718,5215,14503,0,72400,57,5318,885,971.0,49.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,27854,2289,18254,69,776,30,49393,29021,9524,19497,0,69979,450,14231,1582,1021.0,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,4859,471,51189,43,121,81,34158,19695,1092,18603,0,90764,95,3911,969,969.0,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,99020,3846,10684,210,24452,104,7277,44971,11372,33599,0,47410,312,17157,1471,1097.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28915,2247,9213,33,2932,19,10393,15950,3950,12000,0,25974,207,5932,742,1078.0,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,9551,1482,34402,27,193,13,37085,23477,5365,18112,0,72911,381,12493,1598,1016.0,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,57027,6148,84397,310,4768,139,22586,50488,30180,20308,0,117216,2477,30539,7418,1020.0,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,11842,787,776,1164,34920,72,349,13182,2452,10730,0,34811,96,8635,494,1400.0,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,20682,1103,83361,61,778,43,5325,24920,6500,18420,0,98372,98,16026,888,1059.0,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,5261,411,5643,27,2577,7,20967,10751,2182,8569,0,28468,97,6198,392,1125.0,52.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,13474,521,8779,28,297,11,59449,19214,4672,14542,0,78323,139,5373,750,1002.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,31265,1970,8466,328,36087,71,5556,24195,6306,17889,0,46380,202,14188,887,1221.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,15881,2218,29969,577,3311,49,60005,30775,8503,22272,0,92783,303,14204,1300,1075.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,492966,1198036,1020,112,49,399,14,499381,52192,447189,95320,27344,2078,84804,25286,1049.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,359145,371033,5924,384,236,871,9,220393,38470,181923,82784,18835,2523,49866,12959,1035.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,1038985,654816,37635,280,341,1673,98,435160,88933,346227,264897,17569,5316,140205,37541,1042.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,327322,597392,1688,431,57,724,19,288706,20189,268517,40260,8419,1166,45444,12084,1049.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,655052,13475,8711,297,911,167,6315,228262,16504,211758,44225,325560,1192,28195,10410,1049.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,1198401,64526,52968,2261,4673,1055,46,377015,77163,299852,58876,102871,8817,136685,34479,1041.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,347878,579929,77862,771,194,477,103,268114,39504,228610,45094,231570,1364,78641,13524,1037.0,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,917426,90312,50582,1131,3863,530,1347,327083,34190,292893,62298,111765,3073,82345,17636,1037.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,251194,397653,8480,84,490,247,636,175417,16202,159215,70659,691,1211,44143,10615,1051.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,1008219,54684,21051,1540,2378,719,578,367154,80824,286330,88665,139971,5651,122063,26357,1040.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,877495,601784,33297,319,185,1330,55,434445,43849,390596,107827,182038,3109,122191,23468,1053.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,766000,20290,157789,370,6260,397,3568,252876,37185,215691,44961,538738,1923,53918,11340,1052.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,521962,692489,11990,114,446,524,110,294640,32695,261945,157890,1940,1933,70951,24699,1038.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,529068,252271,101091,93,1718,396,123,222011,17115,204896,29570,278665,1218,41373,14063,1043.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,797130,193476,46217,412,1074,250,2410,327933,34694,293239,81840,249426,1948,60296,15011,1034.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1225246,1563203,26844,3036,1073,1162,61,799185,124186,674999,266350,115153,5121,195631,45956,1039.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,491582,277488,429,62,27,1004,9,238944,28238,210706,60216,23364,1631,68313,12360,1054.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,1422824,350536,138166,1363,5088,1003,221,547853,64528,483325,109130,232207,4358,133368,31254,1046.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,1181347,48373,76877,1999,16228,837,395,381614,90910,290704,37688,82066,5135,161718,27948,1050.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,1593525,1207442,4116,371,187,1910,63,703274,44213,659061,382654,38848,2561,43290,29796,1085.0,43.0
